[(8778, 984), (8833, 1010), (8930, 942), (8971, 882), (9033, 815), (9074, 721), (9239, 611)]
[(8737, 602), (8772, 526), (8813, 458), (8840, 390), (8861, 356), (8895, 280), (8847, 356)]
[(8188, 203), (8181, 263), (8174, 331), (8174, 399), (8174, 441), (8181, 500), (8201, 662)]
[(7034, 161), (7047, 297), (7047, 322), (7041, 475), (7041, 526), (7027, 696), (7013, 738)]
[(5728, 212), (5728, 263), (5728, 331), (5728, 458), (5728, 509), (5728, 568), (5728, 619)]
[(4286, 220), (4286, 322), (4286, 339), (4272, 424), (4272, 432), (4272, 483), (4265, 526)]
[(3173, 297), (3187, 365), (3187, 373), (3187, 475), (3187, 568), (3187, 577), (3173, 823)]
[(2177, 645), (2198, 696), (2211, 747), (2218, 849), (2232, 933), (2232, 967), (2232, 1137)]
[(1428, 1231), (1518, 1341), (1524, 1358), (1545, 1417), (1566, 1477), (1579, 1502), (1600, 1545)]
[(693, 2207), (748, 2241), (789, 2300), (824, 2351), (879, 2436), (906, 2470), (982, 2538)]
[(350, 3345), (480, 3379), (487, 3379), (542, 3446), (638, 3480), (680, 3480), (755, 3506)]
[(528, 4491), (693, 4465), (693, 4465), (776, 4457), (858, 4482), (913, 4491), (570, 4508)]
[(844, 5433), (913, 5416), (941, 5408), (996, 5408), (1064, 5391), (1119, 5391), (1140, 5391)]
[(1325, 6180), (1366, 6180), (1435, 6189), (1463, 6180), (1586, 6155), (1579, 6155), (1634, 6078)]
[(2067, 6851), (2095, 6808), (2150, 6766), (2177, 6724), (2184, 6681), (2246, 6613), (2259, 6579)]
[(3331, 6842), (3317, 6885), (3290, 6970), (3276, 6987), (3256, 7072), (3269, 7140), (3331, 7191)]
[(4616, 6902), (4588, 6970), (4581, 7021), (4581, 7106), (4581, 7148), (4581, 7208), (4568, 7258)]
[(5522, 6919), (5550, 7004), (5550, 7038), (5502, 7080), (5495, 7131), (5495, 7174), (5502, 7233)]
[(6134, 6724), (6209, 6800), (6251, 6876), (6340, 6910), (6003, 6664), (6134, 6741), (6299, 6783)]
[(6058, 5993), (6120, 5993), (6230, 5976), (6285, 5976), (6347, 5985), (6402, 6002), (6429, 5917)]
[(5825, 5408), (5770, 5501), (5742, 5526), (5728, 5577), (5722, 5594), (5674, 5696), (5660, 5764)]
[(4732, 5476), (4774, 5586), (4753, 5620), (4739, 5654), (4732, 5722), (4732, 5790), (4726, 5849)]
[(3757, 5510), (3757, 5535), (3736, 5603), (3736, 5662), (3743, 5730), (3736, 5781), (3743, 5892)]
[(2919, 5510), (2919, 5586), (2919, 5654), (2912, 5696), (2898, 5730), (2878, 5773), (2843, 5807)]
