[(487, 1742), (559, 1729), (639, 1722), (703, 1722)]
[(535, 1479), (607, 1472), (671, 1472), (735, 1458)]
[(687, 1202), (735, 1209), (791, 1263), (854, 1276)]
[(854, 992), (934, 1013), (998, 1033), (1134, 1094)]
[(1222, 742), (1270, 824), (1318, 864), (1382, 945)]
[(1518, 688), (1566, 783), (1566, 844), (1566, 911)]
[(1925, 742), (1877, 837), (1877, 898), (1853, 959)]
[(2261, 803), (2229, 871), (2229, 938), (2141, 1033)]
[(2508, 986), (2444, 1033), (2412, 1087), (2325, 1134)]
[(2652, 1283), (2580, 1323), (2508, 1357), (2428, 1425)]
[(2860, 1512), (2748, 1553), (2636, 1600), (2508, 1668)]
[(2948, 1796), (2812, 1810), (2692, 1864), (2620, 1918)]
[(2996, 1992), (2900, 2039), (2756, 2087), (2652, 2134)]
[(3076, 2141), (2988, 2181), (2844, 2235), (2708, 2310)]
[(3227, 2377), (3084, 2431), (2996, 2512), (2964, 2627)]
[(3371, 2505), (3267, 2586), (3188, 2681), (3164, 2816)]
[(3627, 2681), (3595, 2769), (3579, 2904), (3571, 3053)]
[(3979, 2681), (4002, 2769), (4050, 2897), (4082, 2992)]
[(4386, 2620), (4410, 2722), (4418, 2803), (4482, 2904)]
[(4730, 2445), (4762, 2546), (4841, 2640), (4841, 2776)]
[(5049, 2296), (5137, 2404), (5177, 2458), (5289, 2546)]
[(5369, 2100), (5457, 2161), (5561, 2201), (5680, 2303)]
[(5529, 1843), (5640, 1904), (5768, 1965), (5896, 2006)]
[(5656, 1600), (5744, 1634), (5936, 1668), (6080, 1702)]
[(5896, 1182), (6032, 1209), (6168, 1249)]
[(5976, 790), (6104, 830), (6224, 884), (6352, 938)]
[(6384, 486), (6439, 594), (6503, 655), (6591, 790)]
[(7023, 405), (7023, 499), (7031, 601), (7079, 709)]
[(7438, 385), (7438, 526), (7438, 628), (7462, 736)]
[(7870, 452), (7942, 567), (7942, 675), (7926, 756)]
[(8437, 520), (8413, 628), (8389, 715), (8389, 810)]
[(8940, 648), (8940, 756), (8924, 824), (8884, 992)]
[(9468, 851), (9436, 979), (9364, 1053), (9316, 1155)]
[(9899, 1087), (9795, 1209), (9787, 1290), (9651, 1411)]
[(10355, 1377), (10243, 1445), (10171, 1553), (9939, 1695)]
[(10618, 1769), (10554, 1816), (10418, 1904), (10355, 1938)]
[(10690, 2120), (10570, 2154), (10410, 2201), (10299, 2215)]
[(10410, 2546), (10546, 2553), (10666, 2553), (10770, 2553)]
[(10722, 2850), (10546, 2816), (10379, 2816), (10251, 2823)]
[(9995, 3100), (10099, 3127), (10187, 3127), (10315, 3134)]
[(10387, 3458), (10227, 3478), (10027, 3471), (9867, 3465)]
[(10315, 3843), (10139, 3823), (10043, 3823), (9827, 3802)]
[(10251, 4322), (10099, 4282), (9939, 4241), (9835, 4208)]
[(9540, 4518), (9611, 4559), (9699, 4593), (9819, 4694)]
[(9540, 5045), (9436, 5005), (9420, 4998), (9220, 4923)]
[(9036, 5140), (9076, 5241), (9116, 5302), (9172, 5390)]
[(8669, 5342), (8669, 5410), (8669, 5477), (8685, 5572)]
[(8253, 5322), (8293, 5363), (8269, 5450), (8213, 5585)]
[(8117, 5140), (8021, 5214), (7966, 5281), (7870, 5376)]
[(7430, 5173), (7534, 5160), (7598, 5045), (7710, 4984)]
[(7550, 4660), (7438, 4680), (7350, 4748), (7262, 4815)]
[(7183, 4532), (7183, 4457), (7270, 4437), (7438, 4424)]
[(7278, 4093), (7167, 4201), (7063, 4255), (7127, 4066)]
[(6583, 3687), (6575, 3816), (6543, 3958), (6543, 4126)]
[(6064, 3674), (6000, 3809), (6000, 3951), (6000, 4099)]
[(5369, 3546), (5353, 3694), (5353, 3795), (5345, 3998)]
[(4618, 3789), (4706, 3897), (4794, 3978), (4921, 4079)]
[(4298, 4208), (4394, 4275), (4498, 4349), (4642, 4417)]
[(4002, 4633), (4122, 4734), (4258, 4782), (4362, 4836)]
[(3803, 4991), (3867, 5065), (3963, 5119), (4066, 5194)]
[(3403, 5146), (3475, 5248), (3467, 5308), (3411, 5450)]
[(2868, 5126), (2900, 5268), (2780, 5295), (2780, 5390)]
[(2197, 5133), (2253, 5214), (2269, 5288), (2293, 5390)]
[(1701, 5214), (1741, 5302), (1797, 5369), (1813, 5464)]
[(1206, 5032), (1214, 5200), (1118, 5281), (1046, 5396)]
[(591, 5038), (759, 4971), (846, 4903), (966, 4856)]
[(383, 4647), (479, 4586), (559, 4545), (663, 4505)]
[(319, 4194), (551, 4160), (679, 4167)]
[(407, 3343), (495, 3350), (639, 3350)]
[(415, 2938), (519, 2931), (711, 2924)]
[(383, 2438), (559, 2431), (727, 2431)]
